blend	source1	source2	pre_sim	suf_sim	jw_sum	wordvec_similarity
alittle	alien	battle	0.89	0.92	1.81	0.690441906452179
allanaron	allan	aaron	0.89	0.95	1.8399999999999999	0.7008081674575806
allasudden	allium	gladden	0.87	0.9	1.77	0.7117794752120972
allat	ale	lat	0.9	1.0	1.9	0.6543854475021362
alldat	als	dat	0.9	1.0	1.9	0.8036260008811951
allday	all	day	0.9	1.0	1.9	0.9091798067092896
allnight	alleys	bight	0.87	0.95	1.8199999999999998	0.8237378597259521
allstar	all	star	1.0	1.0	2.0	0.7701782584190369
allways	all	ways	1.0	1.0	2.0	0.803046464920044
almos	alc	limos	0.9	0.9	1.8	0.633141040802002
almunia	almira	petunia	0.87	0.9	1.77	0.6736035943031311
alonee	als	nee	0.9	1.0	1.9	0.7954246401786804
alook	all	book	0.9	0.94	1.8399999999999999	0.7711836099624634
alota	alb	iota	0.9	0.94	1.8399999999999999	0.6598523855209351
alotta	alf	atta	0.9	0.94	1.8399999999999999	0.6716263294219971
alound	ald	cund	0.9	0.94	1.8399999999999999	0.6778261661529541
alpharetta	alpian	baretta	0.87	0.9	1.77	0.6748766899108887
alrdy	ald	gardy	0.9	0.9	1.8	0.6816418170928955
alrede	ald	hede	0.9	0.94	1.8399999999999999	0.6896059513092041
alredy	ald	deedy	0.9	0.9	1.8	0.7617886066436768
alrite	ald	idite	0.9	0.9	1.8	0.6845767498016357
alror	alp	juror	0.9	0.9	1.8	0.6336079835891724
alryt	ald	tryt	0.9	0.94	1.8399999999999999	0.6307452321052551
althou	ald	shou	0.9	0.94	1.8399999999999999	0.7911685109138489
altoids	altars	voids	0.87	0.95	1.8199999999999998	0.7131079435348511
alwasy	all	easy	0.9	0.94	1.8399999999999999	0.85576993227005
alyssa	ald	lyssa	0.9	0.9	1.8	0.6920503973960876
amare	ame	hare	0.9	0.94	1.8399999999999999	0.7044613361358643
amargo	amy	argo	0.9	0.94	1.8399999999999999	0.6903150677680969
amargue	amaze	argue	0.89	0.95	1.8399999999999999	0.6988610625267029
amarilla	amadi	billa	0.89	0.95	1.8399999999999999	0.6448160409927368
amato	ami	dato	0.9	0.94	1.8399999999999999	0.6510498523712158
ambian	amy	ian	0.9	1.0	1.9	0.7836658954620361
amboy	amy	boy	0.9	1.0	1.9	0.7901038527488708
americano	amens	meccano	0.89	0.9	1.79	0.7380949258804321
amerie	ame	rie	0.9	1.0	1.9	0.6828687787055969
amigaazoo	aminta	bazoo	0.87	0.95	1.8199999999999998	0.759367823600769
amityville	aminta	maille	0.87	0.92	1.79	0.6784462928771973
ammons	amb	fons	0.9	0.94	1.8399999999999999	0.6934709548950195
amore	amb	ore	0.9	1.0	1.9	0.6559852957725525
amstel	amp	intel	0.9	0.9	1.8	0.6433933973312378
anblow	and	low	0.9	1.0	1.9	0.7512934803962708
andangry	and	angry	1.0	0.95	1.95	0.7557512521743774
andele	ane	mele	0.9	0.94	1.8399999999999999	0.6709169745445251
andres	ana	res	0.9	1.0	1.9	0.6301009654998779
angelitos	angina	vomitos	0.87	0.9	1.77	0.7358530163764954
angery	and	very	0.9	0.94	1.8399999999999999	0.8634688258171082
angsty	and	nasty	0.9	0.9	1.8	0.6475809216499329
animalshow	anime	show	0.89	1.0	1.8900000000000001	0.6747897267341614
aniston	anilla	baston	0.87	0.92	1.79	0.7061983346939087
annabelle	annexe	ficelle	0.87	0.9	1.77	0.6381036043167114
annies	and	lies	0.9	0.94	1.8399999999999999	0.7272850871086121
anniversay	annals	hearsay	0.87	0.9	1.77	0.7362562417984009
annmarie	annam	barie	0.89	0.95	1.8399999999999999	0.6384081244468689
annointed	annal	anted	0.89	0.95	1.8399999999999999	0.7678302526473999
annointing	annoy	dating	0.89	0.92	1.81	0.669039785861969
anoher	and	her	0.9	1.0	1.9	0.7463367581367493
anotame	anoint	tame	0.87	1.0	1.87	0.748242974281311
anotha	and	tha	0.9	1.0	1.9	0.6419529914855957
anothere	anoint	adhere	0.87	0.92	1.79	0.673186182975769
anothers	anoint	fishers	0.87	0.9	1.77	0.6919217109680176
anouncements	anoint	cements	0.87	0.94	1.81	0.6742163896560669
anouncer	anorak	chancer	0.87	0.9	1.77	0.7059403657913208
anoyin	ana	yin	0.9	1.0	1.9	0.6819032430648804
anquan	ani	puan	0.9	0.94	1.8399999999999999	0.6883053779602051
anthemic	antisi	anaemic	0.87	0.9	1.77	0.6563328504562378
antojo	ant	mojo	0.9	0.94	1.8399999999999999	0.6693097352981567
antrell	anted	therell	0.89	0.9	1.79	0.6989995837211609
antwan	ane	wan	0.9	1.0	1.9	0.6820811033248901
anuguration	anubis	cenation	0.87	0.92	1.79	0.7999176979064941
anutha	and	tha	0.9	1.0	1.9	0.6419529914855957
anyday	and	day	0.9	1.0	1.9	0.8679692149162292
anygbody	any	body	1.0	1.0	2.0	0.8003479838371277
anyime	ann	jaime	0.9	0.9	1.8	0.6457052826881409
anyones	any	ones	1.0	1.0	2.0	0.9235982894897461
anyother	any	weather	1.0	0.9	1.9	0.6742027401924133
anythin	any	thin	1.0	1.0	2.0	0.7205831408500671
anywho	and	who	0.9	1.0	1.9	0.9108811020851135
anywhom	any	whom	1.0	1.0	2.0	0.6992896199226379
aol	aor	dol	0.9	0.91	1.81	0.6755593419075012
apacolypto	apathy	crypto	0.87	0.92	1.79	0.645740270614624
aparte	apl	carte	0.9	0.9	1.8	0.6782153844833374
apeges	app	pages	0.9	0.9	1.8	0.8312067985534668
api	apl	bpi	0.9	0.91	1.81	0.6643657684326172
aplication	aplomb	elation	0.87	0.9	1.77	0.6722409725189209
aplico	apx	fico	0.9	0.94	1.8399999999999999	0.7236521244049072
aplying	aplomb	baying	0.87	0.92	1.79	0.671440839767456
apolk	apl	polk	0.9	0.94	1.8399999999999999	0.6476219296455383
apoyan	apl	rayan	0.9	0.9	1.8	0.6978408694267273
appaulled	appeal	called	0.87	0.92	1.79	0.6373981237411499
appearence	appeal	licence	0.87	0.9	1.77	0.7220044732093811
appectance	apply	chance	0.89	0.92	1.81	0.6480005979537964
applebees	apples	bees	0.87	1.0	1.87	0.7452934980392456
appraoched	appeal	reached	0.87	0.9	1.77	0.7442061901092529
approachin	appel	machin	0.89	0.92	1.81	0.6417613625526428
appts	apt	apts	0.9	0.94	1.8399999999999999	0.7429128885269165
arbitrales	arba	ales	0.93	1.0	1.9300000000000002	0.6880811452865601
arbol	arn	cobol	0.9	0.9	1.8	0.6364456415176392
ard	arn	urd	0.9	0.91	1.81	0.7537559866905212
arepa	arr	depa	0.9	0.94	1.8399999999999999	0.8137599229812622
arguements	argosy	bents	0.87	0.95	1.8199999999999998	0.7873588800430298
arguin	are	ruin	0.9	0.94	1.8399999999999999	0.7919940948486328
ari	ark	sri	0.9	0.91	1.81	0.6856057643890381
arigatos	arion	jatos	0.89	0.95	1.8399999999999999	0.7434326410293579
arisit	are	sit	0.9	1.0	1.9	0.7423939108848572
ariss	arb	zeiss	0.9	0.9	1.8	0.64639812707901
armani	ara	ani	0.9	1.0	1.9	0.7661486864089966
arranco	arriba	banco	0.87	0.95	1.8199999999999998	0.7109213471412659
arree	aro	ree	0.9	1.0	1.9	0.646814227104187
arregle	arret	regle	0.89	0.95	1.8399999999999999	0.7370201349258423
artest	are	best	0.9	0.94	1.8399999999999999	0.8655294179916382
artin	art	latin	0.9	0.9	1.8	0.7262365818023682
arturo	arx	buro	0.9	0.94	1.8399999999999999	0.6963074207305908
aruba	arn	buba	0.9	0.94	1.8399999999999999	0.7132148146629333
arundel	aru	bendel	1.0	0.92	1.92	0.6962103843688965
asain	ask	ain	0.9	1.0	1.9	0.7148573398590088
asapp	ask	app	0.9	1.0	1.9	0.6315053701400757
asd	asp	esd	0.9	0.91	1.81	0.6714372038841248
ashlee	ash	lee	0.9	1.0	1.9	0.7328001856803894
ashley	ash	riley	0.9	0.9	1.8	0.6312634944915771
ashten	ask	ten	0.9	1.0	1.9	0.7019915580749512
ashtons	ashen	tritons	0.89	0.9	1.79	0.6393736600875854
asi	asb	hsi	0.9	0.91	1.81	0.6484349966049194
askes	ash	makes	0.9	0.9	1.8	0.6557193398475647
askin	ass	takin	0.9	0.9	1.8	0.798595666885376
askint	ash	aint	0.9	0.94	1.8399999999999999	0.6467617154121399
aslong	ass	bong	0.9	0.94	1.8399999999999999	0.6661002039909363
aso	asa	iso	0.9	0.91	1.81	0.6528130173683167
asocia	ash	lucia	0.9	0.9	1.8	0.7111492156982422
aspirando	aspen	orlando	0.89	0.9	1.79	0.7686749696731567
asprin	asa	rin	0.9	1.0	1.9	0.6702617406845093
assasin	assise	magasin	0.87	0.9	1.77	0.6626665592193604
assualted	assail	halted	0.87	0.92	1.79	0.6570409536361694
asswhores	assail	encores	0.87	0.9	1.77	0.6936109066009521
asswipe	assign	swipe	0.87	0.95	1.8199999999999998	0.7015090584754944
astaga	ask	gaga	0.9	0.94	1.8399999999999999	0.6646472215652466
astrostar	astate	seastar	0.87	0.9	1.77	0.6681431531906128
asw	asb	csw	0.9	0.91	1.81	0.7558165192604065
ataques	ataxia	basques	0.87	0.9	1.77	0.6586503386497498
atcha	ati	cha	0.9	1.0	1.9	0.6810840368270874
atender	atef	leander	0.93	0.9	1.83	0.6903386116027832
ato	ata	ito	0.9	0.91	1.81	0.8480974435806274
atoddler	atone	paddler	0.89	0.9	1.79	0.6411424875259399
attemped	atter	lamped	0.89	0.92	1.81	0.7247731685638428
attento	attics	pimento	0.87	0.9	1.77	0.6497991681098938
atwood	atm	mood	0.9	0.94	1.8399999999999999	0.6407875418663025
aun	aug	jun	0.9	0.91	1.81	0.7381117343902588
aunke	auf	danke	0.9	0.9	1.8	0.6973907947540283
autotune	autumn	tune	0.87	1.0	1.87	0.641740083694458
aveda	avo	leda	0.9	0.94	1.8399999999999999	0.677409827709198
aventura	avell	datura	0.89	0.92	1.81	0.6689720749855042
averie	ave	erie	0.9	0.94	1.8399999999999999	0.7397381067276001
aviance	avie	hance	0.93	0.95	1.88	0.661698043346405
avila	avo	vila	0.9	0.94	1.8399999999999999	0.631797194480896
avirex	ave	rex	0.9	1.0	1.9	0.6645900011062622
awakee	awa	kee	0.9	1.0	1.9	0.7392576932907104
awalk	awl	alk	0.9	1.0	1.9	0.6404038667678833
awerd	awe	wierd	0.9	0.9	1.8	0.67122483253479
awsome	awa	kome	0.9	0.94	1.8399999999999999	0.6378791332244873
awwee	awa	wee	0.9	1.0	1.9	0.6543447971343994
awwman	awk	iman	0.9	0.94	1.8399999999999999	0.6659582853317261
ayanna	aye	wanna	0.9	0.9	1.8	0.8429415822029114
ayo	ayu	iyo	0.9	0.91	1.81	0.7435232400894165
ayyee	aye	yee	0.9	1.0	1.9	0.6659879088401794
babee	bad	bee	0.9	1.0	1.9	0.7325015664100647
babess	bai	cess	0.9	0.94	1.8399999999999999	0.6611412167549133
babilonia	babbie	conia	0.87	0.95	1.8199999999999998	0.7124545574188232
bablee	baw	blee	0.9	0.94	1.8399999999999999	0.6342400312423706
babydoll	babby	doll	0.89	1.0	1.8900000000000001	0.6589350700378418
babygirl	babe	girl	0.93	1.0	1.9300000000000002	0.8733509182929993
babygurl	babby	gurl	0.89	1.0	1.8900000000000001	0.7881934642791748
babymakin	babies	takin	0.87	0.95	1.8199999999999998	0.6621651649475098
babymotha	bable	gotha	0.89	0.95	1.8399999999999999	0.6949076652526855
babymother	babby	heather	0.89	0.9	1.79	0.6605023145675659
babyshower	babus	ower	0.89	1.0	1.8900000000000001	0.6393567323684692
babysitters	babus	hatters	0.89	0.94	1.83	0.6446415185928345
bacall	bad	all	0.9	1.0	1.9	0.8950338363647461
bacardi	bac	mardi	1.0	0.95	1.95	0.725709080696106
bachatas	baccy	pinatas	0.89	0.9	1.79	0.6500520706176758
bachatica	backy	natica	0.89	0.92	1.81	0.6363101005554199
bachelorettes	bacharach	rosettes	0.87	0.92	1.79	0.6904087066650391
backback	backs	back	0.89	1.0	1.8900000000000001	0.6348563432693481
backgound	back	bound	0.93	0.95	1.88	0.6648340225219727
backin	bae	kin	0.9	1.0	1.9	0.6872096061706543
backround	back	bound	0.93	0.95	1.88	0.6648340225219727
backsies	bacons	daisies	0.87	0.9	1.77	0.6390715837478638
backstabbers	baccy	gabbers	0.89	0.94	1.83	0.7082675099372864
bacotan	baches	botan	0.87	0.95	1.8199999999999998	0.6366615891456604
baddass	bad	badass	1.0	0.92	1.92	0.8252428770065308
baddassbilly	badass	billy	0.87	1.0	1.87	0.6665890216827393
baddness	badass	ness	0.87	1.0	1.87	0.6610828638076782
badest	bac	est	0.9	1.0	1.9	0.6405785083770752
badgirl	bad	girl	1.0	1.0	2.0	0.8972786664962769
badgirls	bad	girls	1.0	0.95	1.95	0.8608022928237915
badside	bad	side	1.0	1.0	2.0	0.9104355573654175
baggin	bae	gin	0.9	1.0	1.9	0.6878566741943359
bagian	bad	ian	0.9	1.0	1.9	0.647011935710907
bagus	bae	gus	0.9	1.0	1.9	0.678428590297699
bailar	bai	lar	0.9	1.0	1.9	0.6422489881515503
bailin	bae	lin	0.9	1.0	1.9	0.6834876537322998
baina	ban	china	0.9	0.9	1.8	0.7391821146011353
baitness	bailee	ness	0.87	1.0	1.87	0.7102978229522705
bajak	baa	jak	0.9	1.0	1.9	0.6893223524093628
bajans	bac	ans	0.9	1.0	1.9	0.7637038230895996
bajito	bat	ito	0.9	1.0	1.9	0.6673758029937744
bajos	baa	jos	0.9	1.0	1.9	0.6664146184921265
bak	baa	dak	0.9	0.91	1.81	0.7602047324180603
bakin	bae	kin	0.9	1.0	1.9	0.6872096061706543
baldhill	balboa	hill	0.87	1.0	1.87	0.7073453664779663
balistic	balm	elastic	0.93	0.9	1.83	0.7568737864494324
ballin	bae	lin	0.9	1.0	1.9	0.6834876537322998
balontae	baloo	plantae	0.89	0.9	1.79	0.6604301333427429
bamma	baa	amma	0.9	0.94	1.8399999999999999	0.6361592411994934
bammas	bag	xmas	0.9	0.94	1.8399999999999999	0.691336989402771
banar	bal	nar	0.9	1.0	1.9	0.7057894468307495
bancarrota	banca	rota	0.89	1.0	1.8900000000000001	0.6766710877418518
banekker	baned	dukker	0.89	0.92	1.81	0.6479496955871582
bangel	bag	bagel	0.9	0.9	1.8	0.6569640636444092
banget	bad	get	0.9	1.0	1.9	0.8921424150466919
bangin	bae	gin	0.9	1.0	1.9	0.6878566741943359
banginn	banes	ginn	0.89	1.0	1.8900000000000001	0.6441240310668945
bangun	bad	gun	0.9	1.0	1.9	0.6614621877670288
bankai	bap	kai	0.9	1.0	1.9	0.7494267821311951
banna	bam	anna	0.9	0.94	1.8399999999999999	0.681305468082428
banneker	bani	eker	0.93	1.0	1.9300000000000002	0.6390174031257629
banres	bas	res	0.9	1.0	1.9	0.6680946350097656
bantom	bad	tom	0.9	1.0	1.9	0.7355738282203674
banton	bac	ton	0.9	1.0	1.9	0.7289069890975952
banyak	bab	yak	0.9	1.0	1.9	0.6950958967208862
barbership	barbs	manship	0.89	0.9	1.79	0.684267520904541
barcardi	barani	pardi	0.87	0.95	1.8199999999999998	0.6681798100471497
bareilles	barrio	calles	0.87	0.92	1.79	0.7556185722351074
bareng	baa	beng	0.9	0.94	1.8399999999999999	0.6799247860908508
barnes	bap	agnes	0.9	0.9	1.8	0.7853074073791504
bartendin	barani	nandin	0.87	0.92	1.79	0.8068386316299438
bartle	bad	title	0.9	0.9	1.8	0.6689299941062927
baseeball	base	ball	0.93	1.0	1.9300000000000002	0.6625287532806396
bashe	bad	she	0.9	1.0	1.9	0.8811854124069214
bastball	base	ball	0.93	1.0	1.9300000000000002	0.6625287532806396
basura	baa	ura	0.9	1.0	1.9	0.6934075355529785
batard	bad	card	0.9	0.94	1.8399999999999999	0.6306413412094116
batcave	bath	cave	0.93	1.0	1.9300000000000002	0.7588631510734558
batmans	bath	mans	0.93	1.0	1.9300000000000002	0.653067946434021
battlin	batara	catlin	0.87	0.92	1.79	0.7868399620056152
battyriders	bathed	ciders	0.87	0.96	1.83	0.6465818285942078
bawel	bag	towel	0.9	0.9	1.8	0.866675078868866
bawell	bac	ell	0.9	1.0	1.9	0.6866679191589355
bawsten	bawd	tasten	0.93	0.92	1.85	0.6919617652893066
bayar	bal	yar	0.9	1.0	1.9	0.6685501337051392
baybay	ban	bay	0.9	1.0	1.9	0.6777655482292175
baybe	bad	maybe	0.9	0.9	1.8	0.9227092266082764
baybee	bad	bee	0.9	1.0	1.9	0.7325015664100647
baylor	baa	lor	0.9	1.0	1.9	0.7073750495910645
baynes	bap	agnes	0.9	0.9	1.8	0.7853074073791504
bayside	bay	side	1.0	1.0	2.0	0.7140555381774902
bberry	bbl	hurry	0.9	0.9	1.8	0.6780993938446045
bcause	bcd	huse	0.9	0.94	1.8399999999999999	0.6609826683998108
beachbody	beam	body	0.93	1.0	1.9300000000000002	0.6435313820838928
beamon	bel	mon	0.9	1.0	1.9	0.680982232093811
beantown	beach	town	0.89	1.0	1.8900000000000001	0.8982572555541992
bearly	bed	rly	0.9	1.0	1.9	0.6330231428146362
beasley	beady	presley	0.89	0.9	1.79	0.7501051425933838
beasted	beak	basted	0.93	0.92	1.85	0.6645352840423584
beasting	beany	bating	0.89	0.92	1.81	0.6335228681564331
beatchild	bear	child	0.93	0.95	1.88	0.7672989368438721
beatin	bel	tin	0.9	1.0	1.9	0.6509361267089844
becus	bec	focus	0.9	0.9	1.8	0.6647547483444214
bedroon	bedded	roon	0.87	1.0	1.87	0.8049560189247131
beeda	bes	teda	0.9	0.94	1.8399999999999999	0.6422206163406372
beenie	bea	annie	0.9	0.9	1.8	0.6664748191833496
beeter	bec	cater	0.9	0.9	1.8	0.7080352902412415
befor	bec	for	0.9	1.0	1.9	0.6477225422859192
beggers	beget	jaegers	0.89	0.9	1.79	0.6342672109603882
beggin	bee	gin	0.9	1.0	1.9	0.7320858240127563
begitu	ber	situ	0.9	0.94	1.8399999999999999	0.8053909540176392
beh	bee	heh	0.9	0.91	1.81	0.7016890645027161
behar	bes	char	0.9	0.94	1.8399999999999999	0.6694470643997192
behavin	beheld	cavin	0.87	0.95	1.8199999999999998	0.7120558023452759
beiber	bel	ber	0.9	1.0	1.9	0.6626441478729248
beina	bea	reina	0.9	0.9	1.8	0.6393076777458191
bekuss	bee	buss	0.9	0.94	1.8399999999999999	0.6971800327301025
belden	ben	den	0.9	1.0	1.9	0.6521002054214478
belieber	belk	weber	0.93	0.95	1.88	0.6463738679885864
beliebers	belfry	sabers	0.87	0.92	1.79	0.6959266066551208
bendittoo	bench	tattoo	0.89	0.92	1.81	0.6385371685028076
bener	bey	caner	0.9	0.9	1.8	0.6573677659034729
bengay	bet	gay	0.9	1.0	1.9	0.6552174091339111
benihannas	benben	annas	0.87	0.95	1.8199999999999998	0.7402520775794983
benkler	benes	heckler	0.89	0.9	1.79	0.7037340402603149
bentley	bendel	huntley	0.87	0.9	1.77	0.7030647993087769
bep	ben	hep	0.9	0.91	1.81	0.7699753046035767
berapa	ber	apa	0.9	1.0	1.9	0.8233743906021118
berarti	berean	bharti	0.87	0.92	1.79	0.7206625938415527
berasa	ber	asa	0.9	1.0	1.9	0.6390442848205566
berita	bel	ita	0.9	1.0	1.9	0.7063435912132263
bernardino	bergs	ladino	0.89	0.92	1.81	0.6678479313850403
bernardo	berger	cardo	0.87	0.95	1.8199999999999998	0.7340751886367798
bernstein	berry	protein	0.89	0.9	1.79	0.6668145656585693
berrybuzz	bereft	abuzz	0.87	0.95	1.8199999999999998	0.8267186880111694
bertiga	bergs	cantiga	0.89	0.9	1.79	0.6594130992889404
besar	bel	sar	0.9	1.0	1.9	0.7425318956375122
besok	ber	sok	0.9	1.0	1.9	0.7568439245223999
bestest	best	test	0.93	1.0	1.9300000000000002	0.7180420160293579
bestfriend	beside	friend	0.87	0.92	1.79	0.7507054805755615
bestfriends	beside	friends	0.87	0.94	1.81	0.7205997109413147
bestie	bed	tie	0.9	1.0	1.9	0.6779127717018127
besties	bests	fifties	0.89	0.9	1.79	0.7321574687957764
betamouse	betise	bouse	0.87	0.95	1.8199999999999998	0.819197416305542
betch	beg	tch	0.9	1.0	1.9	0.6415481567382812
betcha	bee	cha	0.9	1.0	1.9	0.8348908424377441
betdat	bed	dat	0.9	1.0	1.9	0.6855767965316772
bethea	bec	thea	0.9	0.94	1.8399999999999999	0.7324637770652771
beyaki	ber	kaki	0.9	0.94	1.8399999999999999	0.6324710249900818
beyonce	beyond	once	0.87	1.0	1.87	0.7345434427261353
beyonces	beylik	fiances	0.87	0.9	1.77	0.6840197443962097
bhannel	bhajan	cannel	0.87	0.92	1.79	0.6718830466270447
bhs	bhp	ihs	0.9	0.91	1.81	0.6754205822944641
bia	bio	via	0.9	0.91	1.81	0.6500774025917053
biasanya	bias	tanya	0.93	0.95	1.88	0.6522841453552246
biatch	big	catch	0.9	0.9	1.8	0.8473019599914551
bidness	biddie	maness	0.87	0.92	1.79	0.6425226330757141
bieng	bib	beng	0.9	0.94	1.8399999999999999	0.7170976400375366
bigass	big	ass	0.9	1.0	1.9	0.850116491317749
bigdeal	big	deal	1.0	1.0	2.0	0.8419591188430786
bigfoots	bigged	oots	0.87	1.0	1.87	0.6846318244934082
biggahead	big	head	1.0	1.0	2.0	0.8717162013053894
biggavelli	biggen	celli	0.87	0.95	1.8199999999999998	0.7035540342330933
bigist	bin	ist	0.9	1.0	1.9	0.6531474590301514
bigmon	bim	mon	0.9	1.0	1.9	0.6741900444030762
biitch	big	catch	0.9	0.9	1.8	0.8473019599914551
bikin	biz	lakin	0.9	0.9	1.8	0.6980972290039062
